Utah County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 127 Years
"Location ID","Location","Date","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
UT-001,"Beaver County",191306,60.1,11,-3.6,63.7
UT-001,"Beaver County",191307,67.8,4,-3.7,71.5
UT-001,"Beaver County",191308,67.6,16,-1.8,69.4
UT-001,"Beaver County",191309,58.2,15,-2.6,60.8
UT-001,"Beaver County",191310,44.7,15,-4.2,48.9
UT-001,"Beaver County",191311,38.4,79,1.7,36.7
UT-001,"Beaver County",191312,24.1,21,-4.4,28.5
UT-001,"Beaver County",191401,30.6,88,3.3,27.3
UT-001,"Beaver County",191402,29.4,35,-2.0,31.4
UT-001,"Beaver County",191403,39.9,93,2.5,37.4
UT-001,"Beaver County",191404,46.0,79,1.0,45
UT-001,"Beaver County",191405,55.3,80,1.3,54
UT-001,"Beaver County",191406,61.4,21,-2.3,63.7
UT-001,"Beaver County",191407,68.4,5,-3.1,71.5
UT-001,"Beaver County",191408,68.5,34,-0.9,69.4
UT-001,"Beaver County",191409,60.0,40,-0.8,60.8
UT-001,"Beaver County",191410,48.9,61,0.0,48.9
UT-001,"Beaver County",191411,37.3,63,0.6,36.7
UT-001,"Beaver County",191412,22.9,11,-5.6,28.5
UT-001,"Beaver County",191501,23.0,21,-4.3,27.3
UT-001,"Beaver County",191502,32.1,67,0.7,31.4
UT-001,"Beaver County",191503,37.4,51,0.0,37.4
UT-001,"Beaver County",191504,47.9,103,2.9,45
UT-001,"Beaver County",191505,51.0,20,-3.0,54
UT-001,"Beaver County",191506,59.9,9,-3.8,63.7
UT-001,"Beaver County",191507,70.0,24,-1.5,71.5
UT-001,"Beaver County",191508,69.8,69,0.4,69.4
UT-001,"Beaver County",191509,58.2,15,-2.6,60.8
UT-001,"Beaver County",191510,49.8,80,0.9,48.9
UT-001,"Beaver County",191511,39.4,98,2.7,36.7
UT-001,"Beaver County",191512,29.8,77,1.3,28.5
UT-001,"Beaver County",191601,27.0,55,-0.3,27.3
UT-001,"Beaver County",191602,37.6,120,6.2,31.4
UT-001,"Beaver County",191603,41.1,103,3.7,37.4
UT-001,"Beaver County",191604,46.9,91,1.9,45
UT-001,"Beaver County",191605,50.3,12,-3.7,54
UT-001,"Beaver County",191606,62.0,27,-1.7,63.7
UT-001,"Beaver County",191607,68.8,8,-2.7,71.5
UT-001,"Beaver County",191608,65.0,3,-4.4,69.4
UT-001,"Beaver County",191609,58.5,19,-2.3,60.8
UT-001,"Beaver County",191610,44.1,8,-4.8,48.9
UT-001,"Beaver County",191611,32.8,14,-3.9,36.7
UT-001,"Beaver County",191612,23.1,14,-5.4,28.5
UT-001,"Beaver County",191701,15.1,4,-12.2,27.3
UT-001,"Beaver County",191702,25.3,9,-6.1,31.4
UT-001,"Beaver County",191703,30.6,3,-6.8,37.4
UT-001,"Beaver County",191704,40.5,10,-4.5,45
UT-001,"Beaver County",191705,47.2,1,-6.8,54
UT-001,"Beaver County",191706,62.5,40,-1.2,63.7
UT-001,"Beaver County",191707,73.2,97,1.7,71.5
UT-001,"Beaver County",191708,67.9,20,-1.5,69.4
UT-001,"Beaver County",191709,59.8,34,-1.0,60.8
UT-001,"Beaver County",191710,48.6,53,-0.3,48.9
UT-001,"Beaver County",191711,39.0,87,2.3,36.7
UT-001,"Beaver County",191712,35.0,120,6.5,28.5
UT-001,"Beaver County",191801,26.4,42,-0.9,27.3
UT-001,"Beaver County",191802,31.6,57,0.2,31.4
UT-001,"Beaver County",191803,39.9,93,2.5,37.4
UT-001,"Beaver County",191804,42.2,20,-2.8,45
UT-001,"Beaver County",191805,51.4,28,-2.6,54
UT-001,"Beaver County",191806,70.2,125,6.5,63.7
UT-001,"Beaver County",191807,69.6,17,-1.9,71.5
UT-001,"Beaver County",191808,68.1,25,-1.3,69.4
UT-001,"Beaver County",191809,61.9,81,1.1,60.8
UT-001,"Beaver County",191810,51.3,103,2.4,48.9
UT-001,"Beaver County",191811,33.8,20,-2.9,36.7
UT-001,"Beaver County",191812,26.4,38,-2.1,28.5
UT-001,"Beaver County",191901,25.8,36,-1.5,27.3
UT-001,"Beaver County",191902,28.6,27,-2.8,31.4
UT-001,"Beaver County",191903,33.4,16,-4.0,37.4
UT-001,"Beaver County",191904,47.4,99,2.4,45
UT-001,"Beaver County",191905,57.7,112,3.7,54
UT-001,"Beaver County",191906,64.8,77,1.1,63.7
UT-001,"Beaver County",191907,73.0,91,1.5,71.5
UT-001,"Beaver County",191908,70.6,90,1.2,69.4
UT-001,"Beaver County",191909,62.6,91,1.8,60.8
UT-001,"Beaver County",191910,41.1,1,-7.8,48.9
UT-001,"Beaver County",191911,34.8,36,-1.9,36.7
UT-001,"Beaver County",191912,22.5,10,-6.0,28.5
UT-001,"Beaver County",192001,26.8,52,-0.5,27.3
UT-001,"Beaver County",192002,32.1,67,0.7,31.4
UT-001,"Beaver County",192003,35.1,28,-2.3,37.4
UT-001,"Beaver County",192004,39.9,6,-5.1,45
UT-001,"Beaver County",192005,53.7,52,-0.3,54
UT-001,"Beaver County",192006,62.7,45,-1.0,63.7
UT-001,"Beaver County",192007,71.4,53,-0.1,71.5
UT-001,"Beaver County",192008,67.4,13,-2.0,69.4
UT-001,"Beaver County",192009,58.3,17,-2.5,60.8
UT-001,"Beaver County",192010,44.4,11,-4.5,48.9
UT-001,"Beaver County",192011,36.3,50,-0.4,36.7
UT-001,"Beaver County",192012,25.8,32,-2.7,28.5
UT-001,"Beaver County",192101,29.4,79,2.1,27.3
UT-001,"Beaver County",192102,32.4,72,1.0,31.4
UT-001,"Beaver County",192103,41.2,105,3.8,37.4
UT-001,"Beaver County",192104,41.0,12,-4.0,45
UT-001,"Beaver County",192105,52.7,42,-1.3,54
UT-001,"Beaver County",192106,64.1,64,0.4,63.7
UT-001,"Beaver County",192107,71.1,46,-0.4,71.5
UT-001,"Beaver County",192108,68.1,25,-1.3,69.4
UT-001,"Beaver County",192109,59.8,34,-1.0,60.8
UT-001,"Beaver County",192110,52.6,116,3.7,48.9
UT-001,"Beaver County",192111,40.0,105,3.3,36.7
UT-001,"Beaver County",192112,33.8,117,5.3,28.5
UT-001,"Beaver County",192201,14.0,3,-13.3,27.3
UT-001,"Beaver County",192202,27.9,20,-3.5,31.4
UT-001,"Beaver County",192203,33.3,15,-4.1,37.4
UT-001,"Beaver County",192204,38.3,2,-6.7,45
UT-001,"Beaver County",192205,51.4,28,-2.6,54
UT-001,"Beaver County",192206,65.3,84,1.6,63.7
UT-001,"Beaver County",192207,71.8,67,0.3,71.5
UT-001,"Beaver County",192208,68.7,38,-0.7,69.4
UT-001,"Beaver County",192209,64.2,113,3.4,60.8
UT-001,"Beaver County",192210,48.8,58,-0.1,48.9
UT-001,"Beaver County",192211,34.2,27,-2.5,36.7
UT-001,"Beaver County",192212,32.5,105,4.0,28.5
UT-001,"Beaver County",192301,32.3,106,5.0,27.3
UT-001,"Beaver County",192302,22.7,6,-8.7,31.4
UT-001,"Beaver County",192303,33.5,17,-3.9,37.4
UT-001,"Beaver County",192304,43.2,32,-1.8,45
UT-001,"Beaver County",192305,54.1,62,0.1,54
UT-001,"Beaver County",192306,59.4,5,-4.3,63.7
UT-001,"Beaver County",192307,71.4,53,-0.1,71.5
UT-001,"Beaver County",192308,66.7,7,-2.7,69.4
UT-001,"Beaver County",192309,57.6,11,-3.2,60.8
UT-001,"Beaver County",192310,44.1,8,-4.8,48.9
UT-001,"Beaver County",192311,37.4,64,0.7,36.7
UT-001,"Beaver County",192312,27.2,48,-1.3,28.5
UT-001,"Beaver County",192401,21.6,15,-5.7,27.3
UT-001,"Beaver County",192402,36.1,109,4.7,31.4
UT-001,"Beaver County",192403,32.5,9,-4.9,37.4
UT-001,"Beaver County",192404,44.7,51,-0.3,45
UT-001,"Beaver County",192405,56.5,97,2.5,54
UT-001,"Beaver County",192406,66.2,92,2.5,63.7
UT-001,"Beaver County",192407,70.3,29,-1.2,71.5
UT-001,"Beaver County",192408,68.8,43,-0.6,69.4
UT-001,"Beaver County",192409,60.1,43,-0.7,60.8
UT-001,"Beaver County",192410,46.8,29,-2.1,48.9
UT-001,"Beaver County",192411,35.2,42,-1.5,36.7
UT-001,"Beaver County",192412,18.2,1,-10.3,28.5
UT-001,"Beaver County",192501,19.4,8,-7.9,27.3
UT-001,"Beaver County",192502,35.4,103,4.0,31.4
UT-001,"Beaver County",192503,39.1,84,1.7,37.4
UT-001,"Beaver County",192504,45.7,76,0.7,45
UT-001,"Beaver County",192505,57.1,104,3.1,54
UT-001,"Beaver County",192506,60.2,12,-3.5,63.7
UT-001,"Beaver County",192507,71.6,59,0.1,71.5
UT-001,"Beaver County",192508,67.1,10,-2.3,69.4
UT-001,"Beaver County",192509,58.6,20,-2.2,60.8
UT-001,"Beaver County",192510,46.6,27,-2.3,48.9
UT-001,"Beaver County",192511,34.6,34,-2.1,36.7
UT-001,"Beaver County",192512,32.0,100,3.5,28.5
UT-001,"Beaver County",192601,26.4,42,-0.9,27.3
UT-001,"Beaver County",192602,35.7,107,4.3,31.4
UT-001,"Beaver County",192603,39.5,89,2.1,37.4
UT-001,"Beaver County",192604,49.1,117,4.1,45
UT-001,"Beaver County",192605,55.2,78,1.2,54
UT-001,"Beaver County",192606,66.6,98,2.9,63.7
UT-001,"Beaver County",192607,69.6,17,-1.9,71.5
UT-001,"Beaver County",192608,69.1,52,-0.3,69.4
UT-001,"Beaver County",192609,58.9,24,-1.9,60.8
UT-001,"Beaver County",192610,50.1,84,1.2,48.9
UT-001,"Beaver County",192611,41.3,115,4.6,36.7
UT-001,"Beaver County",192612,26.6,41,-1.9,28.5
UT-001,"Beaver County",192701,30.9,93,3.6,27.3
UT-001,"Beaver County",192702,35.0,98,3.6,31.4
UT-001,"Beaver County",192703,37.6,61,0.2,37.4
UT-001,"Beaver County",192704,45.3,63,0.3,45
UT-001,"Beaver County",192705,53.7,52,-0.3,54
UT-001,"Beaver County",192706,64.6,75,0.9,63.7
UT-001,"Beaver County",192707,72.1,71,0.6,71.5
UT-001,"Beaver County",192708,67.4,13,-2.0,69.4
UT-001,"Beaver County",192709,59.5,30,-1.3,60.8
UT-001,"Beaver County",192710,50.0,81,1.1,48.9
UT-001,"Beaver County",192711,41.6,118,4.9,36.7
UT-001,"Beaver County",192712,24.7,24,-3.8,28.5
UT-001,"Beaver County",192801,29.3,77,2.0,27.3
UT-001,"Beaver County",192802,32.5,75,1.1,31.4
UT-001,"Beaver County",192803,41.8,112,4.4,37.4
UT-001,"Beaver County",192804,44.1,44,-0.9,45
UT-001,"Beaver County",192805,57.2,105,3.2,54
UT-001,"Beaver County",192806,62.0,27,-1.7,63.7
UT-001,"Beaver County",192807,70.2,28,-1.3,71.5
UT-001,"Beaver County",192808,68.1,25,-1.3,69.4
UT-001,"Beaver County",192809,61.1,62,0.3,60.8
UT-001,"Beaver County",192810,49.5,75,0.6,48.9
UT-001,"Beaver County",192811,36.4,52,-0.3,36.7
UT-001,"Beaver County",192812,24.7,24,-3.8,28.5
UT-001,"Beaver County",192901,23.0,21,-4.3,27.3
UT-001,"Beaver County",192902,24.3,8,-7.1,31.4
UT-001,"Beaver County",192903,37.3,49,-0.1,37.4
UT-001,"Beaver County",192904,42.9,27,-2.1,45
UT-001,"Beaver County",192905,54.0,61,0.0,54
UT-001,"Beaver County",192906,62.4,37,-1.3,63.7
UT-001,"Beaver County",192907,72.8,88,1.3,71.5
UT-001,"Beaver County",192908,70.0,74,0.6,69.4
UT-001,"Beaver County",192909,60.2,44,-0.6,60.8
UT-001,"Beaver County",192910,49.4,71,0.5,48.9
UT-001,"Beaver County",192911,34.4,29,-2.3,36.7
UT-001,"Beaver County",192912,34.1,118,5.6,28.5
UT-001,"Beaver County",193001,21.4,13,-5.9,27.3
UT-001,"Beaver County",193002,35.7,107,4.3,31.4
UT-001,"Beaver County",193003,37.9,70,0.5,37.4
UT-001,"Beaver County",193004,51.1,125,6.1,45
UT-001,"Beaver County",193005,50.5,14,-3.5,54
UT-001,"Beaver County",193006,64.4,73,0.7,63.7
UT-001,"Beaver County",193007,71.4,53,-0.1,71.5
UT-001,"Beaver County",193008,68.5,34,-0.9,69.4
UT-001,"Beaver County",193009,60.3,50,-0.5,60.8
UT-001,"Beaver County",193010,45.5,20,-3.4,48.9
UT-001,"Beaver County",193011,30.5,4,-6.2,36.7
UT-001,"Beaver County",193012,20.1,3,-8.4,28.5
UT-001,"Beaver County",193101,26.4,42,-0.9,27.3
UT-001,"Beaver County",193102,34.2,90,2.8,31.4
UT-001,"Beaver County",193103,37.0,46,-0.4,37.4
UT-001,"Beaver County",193104,47.3,98,2.3,45
UT-001,"Beaver County",193105,54.9,76,0.9,54
UT-001,"Beaver County",193106,66.2,92,2.5,63.7
UT-001,"Beaver County",193107,75.0,121,3.5,71.5
UT-001,"Beaver County",193108,70.6,90,1.2,69.4
UT-001,"Beaver County",193109,60.9,60,0.1,60.8
UT-001,"Beaver County",193110,50.1,84,1.2,48.9
UT-001,"Beaver County",193111,31.7,10,-5.0,36.7
UT-001,"Beaver County",193112,21.7,7,-6.8,28.5
UT-001,"Beaver County",193201,18.3,6,-9.0,27.3
UT-001,"Beaver County",193202,30.1,41,-1.3,31.4
UT-001,"Beaver County",193203,37.5,57,0.1,37.4
UT-001,"Beaver County",193204,45.3,63,0.3,45
UT-001,"Beaver County",193205,54.7,72,0.7,54
UT-001,"Beaver County",193206,63.2,52,-0.5,63.7
UT-001,"Beaver County",193207,71.2,47,-0.3,71.5
UT-001,"Beaver County",193208,68.8,43,-0.6,69.4
UT-001,"Beaver County",193209,60.8,58,0.0,60.8
UT-001,"Beaver County",193210,47.2,31,-1.7,48.9
UT-001,"Beaver County",193211,39.9,103,3.2,36.7
UT-001,"Beaver County",193212,18.9,2,-9.6,28.5
UT-001,"Beaver County",193301,24.3,29,-3.0,27.3
UT-001,"Beaver County",193302,18.9,3,-12.5,31.4
UT-001,"Beaver County",193303,37.4,51,0.0,37.4
UT-001,"Beaver County",193304,41.0,12,-4.0,45
UT-001,"Beaver County",193305,48.4,3,-5.6,54
UT-001,"Beaver County",193306,66.5,95,2.8,63.7
UT-001,"Beaver County",193307,74.9,120,3.4,71.5
UT-001,"Beaver County",193308,69.2,54,-0.2,69.4
UT-001,"Beaver County",193309,64.5,120,3.7,60.8
UT-001,"Beaver County",193310,53.7,120,4.8,48.9
UT-001,"Beaver County",193311,38.1,76,1.4,36.7
UT-001,"Beaver County",193312,35.5,124,7.0,28.5
UT-001,"Beaver County",193401,31.5,99,4.2,27.3
UT-001,"Beaver County",193402,38.2,124,6.8,31.4
UT-001,"Beaver County",193403,44.9,125,7.5,37.4
UT-001,"Beaver County",193404,50.6,124,5.6,45
